run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
repa_l0_256,400000,0,1.00,512,0.8669,0.8874,0.6279,0.7730,0.8874,39,T,0.8000,0.8148,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,1,1.00,512,0.8671,0.8703,0.6125,0.7633,0.8703,39,T,0.7000,0.7037,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,2,1.00,512,0.8649,0.8696,0.6109,0.7539,0.8696,39,T,0.7000,0.6481,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,3,1.00,512,0.8653,0.8553,0.5966,0.7413,0.8553,39,T,0.7000,0.6481,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,4,1.00,512,0.8576,0.8616,0.5908,0.7477,0.8616,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,5,1.00,512,0.8500,0.8730,0.6032,0.7708,0.8730,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,6,1.00,512,0.8445,0.8779,0.6129,0.7731,0.8779,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,7,1.00,512,0.8435,0.8768,0.6125,0.7775,0.8768,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,8,1.00,512,0.8627,0.8698,0.6089,0.7660,0.8698,39,T,0.5000,0.4444,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,9,1.00,512,0.8586,0.8722,0.5935,0.7613,0.8722,39,T,0.5000,0.4630,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,0,0.75,512,0.3484,0.4459,0.3020,0.3681,0.4459,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,1,0.75,512,0.4265,0.5254,0.3607,0.4531,0.5254,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
