n	run	N_gen	N_des_eval	N_des	des_p	des_ci_lo	des_ci_hi	des_ci_halfwidth	pdb_3bin	pdb_3bin_ci_lo	pdb_3bin_ci_hi	pdb_2d	pdb_2d_ci_lo	pdb_2d_ci_hi	pdb_3bin_des	pdb_3bin_des_ci_lo	pdb_3bin_des_ci_hi	pdb_2d_des	pdb_2d_des_ci_lo	pdb_2d_des_ci_hi
256	pretrained_dfs_60m_n256_paper	1125	250	230	0.92000	0.87967	0.94762	0.03397	0.10909	0.10133	0.11656	0.41765	0.39438	0.44403	0.11294	0.09713	0.12923	0.43696	0.39416	0.49965
256	repa_esm_l9_t30_256_steplast	1125	250	42	0.16800	0.12676	0.21929	0.04627	0.07040	0.06590	0.07553	0.38181	0.36146	0.40484	0.16323	0.13145	0.19757	0.70901	0.69683	0.73665
256	repa_l0_256_ep26	1125	250	21	0.08400	0.05560	0.12500	0.03470	0.01614	0.01342	0.01908	0.14521	0.13053	0.16480	0.04167	0.01415	0.09792	0.43919	0.36385	0.62572
256	repa_l0_256_per_sample_steplast	1125	250	57	0.22800	0.18034	0.28389	0.05178	0.02744	0.02397	0.03156	0.21570	0.19863	0.23592	0.05400	0.02558	0.09062	0.44515	0.37899	0.56207
256	repa_l4_256_ep13_step300k	1125	250	20	0.08000	0.05238	0.12033	0.03397	0.00066	0.00036	0.00121	0.04915	0.04035	0.06200	0.13262	0.08936	0.18597	0.55610	0.48112	0.72950
256	repa_l4_256_ep22	1125	250	80	0.32000	0.26527	0.38017	0.05745	0.02751	0.02396	0.03121	0.18393	0.16671	0.20478	0.11941	0.09221	0.14867	0.51357	0.45272	0.60891
256	repa_l4_256_ep31_step500k	1125	250	96	0.38400	0.32590	0.44561	0.05986	0.02286	0.01912	0.02711	0.18490	0.16855	0.20426	0.09685	0.07234	0.12440	0.40858	0.34296	0.51892
256	repa_l4_256_per_residue_lambda1_step300k	1125	250	48	0.19200	0.14798	0.24534	0.04868	0.00956	0.00694	0.01255	0.14389	0.12878	0.16469	0.06026	0.03079	0.09886	0.41699	0.36433	0.51112
256	repa_l4_256_per_residue_lambda2_step200k	1125	250	8	0.03200	0.01630	0.06186	0.02278	0.00293	0.00217	0.00394	0.03387	0.02750	0.04486	0.06521	0.01749	0.16121	0.48605	0.38085	0.68700
256	repa_l4_256_per_sample_step400k	1125	250	70	0.28000	0.22799	0.33867	0.05534	0.01098	0.00920	0.01314	0.16679	0.15204	0.18555	0.08380	0.05462	0.12037	0.48028	0.40402	0.60432
256	repa_l4_256_random_ep17	1125	250	40	0.16000	0.11975	0.21054	0.04539	0.03922	0.03490	0.04363	0.21085	0.19309	0.23285	0.16145	0.12496	0.20638	0.57481	0.51349	0.69203
256	repa_l4_afdb_256_ep20	1125	250	171	0.68400	0.62395	0.73848	0.05726	0.01559	0.01310	0.01836	0.14980	0.13421	0.16916	0.01796	0.01222	0.02502	0.18099	0.14481	0.23569
256	repa_l9_256_ep17	1125	250	10	0.04000	0.02187	0.07205	0.02509	0.00349	0.00256	0.00456	0.05624	0.04792	0.06956	0.16217	0.12738	0.20526	0.58013	0.50980	0.73270
256	repa_l9_256_ep25	1125	250	121	0.48400	0.42276	0.54572	0.06148	0.04341	0.03822	0.04871	0.19151	0.17335	0.21406	0.11112	0.08600	0.13701	0.53583	0.48647	0.59996
256	repa_l9_256_per_sample_steplast	1125	250	82	0.32800	0.27279	0.38842	0.05781	0.04053	0.03502	0.04667	0.21292	0.19383	0.23506	0.14450	0.12115	0.17298	0.50773	0.45090	0.59693
256	repa_mpnn_l4_256_per_residue_step300k	1125	250	103	0.41200	0.35277	0.47390	0.06056	0.02523	0.02229	0.02859	0.26696	0.24787	0.28950	0.04628	0.03162	0.06455	0.41351	0.35242	0.50221
?	baseline_128	200	100	50	0.50000	0.40383	0.59617	0.09617	0.00361	0.00171	0.00712	0.09736	0.07423	0.14178	0.00796	0.00213	0.02192	0.25913	0.20354	0.36112
?	baseline_128_bs80	200	100	23	0.23000	0.15843	0.32155	0.08156	0.06340	0.04985	0.08027	0.36738	0.32294	0.43085	0.18934	0.17460	0.20461	0.72103	0.70128	0.75895
?	baseline_128_bs80	200	100	67	0.67000	0.57305	0.75437	0.09066	0.00597	0.00385	0.01116	0.25917	0.22748	0.30545	0.00741	0.00315	0.02427	0.40716	0.37228	0.46098
?	baseline_256	240	100	14	0.14000	0.08526	0.22137	0.06806	0.17791	0.16804	0.18799	0.67183	0.64605	0.70717	0.23044	0.21517	0.24668	0.79573	0.73907	0.92118
?	baseline_512_sm	200	90	0	0.00000	0.00000	0.04094	0.02047	0.14583	0.14070	0.15113	0.70108	0.69817	0.70623	nan	nan	nan	nan	nan	nan
?	foldseek_sanity_baseline_128	200	0	0	0.00000	0.00000	0.01885	0.00942	0.00627	0.00279	0.01140	0.20859	0.17674	0.26646	nan	nan	nan	nan	nan	nan
?	inference_fid_60m_baseline	5760	0	0	0.00000	0.00000	0.00067	0.00033	0.07001	0.06758	0.07262	0.37349	0.36471	0.38316	nan	nan	nan	nan	nan	nan
?	inference_fid_60m_repa	5760	0	0	0.00000	0.00000	0.00067	0.00033	0.08416	0.08186	0.08659	0.34201	0.33237	0.35270	nan	nan	nan	nan	nan	nan
?	inference_fid_60m_repa_840k	5760	0	0	0.00000	0.00000	0.00067	0.00033	0.08844	0.08611	0.09081	0.37332	0.36380	0.38420	nan	nan	nan	nan	nan	nan
?	inference_fid_60m_repa_layer0	5760	0	0	0.00000	0.00000	0.00067	0.00033	0.02742	0.02636	0.02847	0.25848	0.24986	0.26845	nan	nan	nan	nan	nan	nan
