variant,dataset,step_filter,rep_metric,gen_metric,n,pearson_r,pearson_p,spearman_r,spearman_p,partial_spearman_r_ctrl_step,partial_spearman_p_ctrl_step
cleantrain,PDB,0,cath_T_top1,_res_AFDB_FID,129,-0.3657928339081504,2.018207542181529e-05,-0.3457338346498499,5.994306125220048e-05,-0.18021494198661528,0.04098420167315099
cleantrain,PDB,0,cath_T_top1,_res_designability_rate,129,0.419755431039533,7.353834420294767e-07,0.3970058506323828,3.190848723084358e-06,0.24760210367868588,0.00466882491791423
cleantrain,PDB,0,if_top1_acc,_res_PDB_FID,129,-0.39812889393506795,2.9753048109020816e-06,-0.4225468006305225,6.09580081967556e-07,-0.26068995887336854,0.002846733114399125
cleantrain,PDB,0,if_top1_acc,_res_AFDB_FID,129,-0.3333319317182738,0.00011335605536510961,-0.3895502721125092,5.04386436499096e-06,-0.22170892258397756,0.011565634274047392
cleantrain,PDB,0,if_top1_acc,_res_designability_rate,129,0.5168008326218541,3.614403849041158e-10,0.5070343854302667,8.701191713246063e-10,0.3932829692645709,4.016131985755924e-06
cleantrain,PDB,0,dih_mae_total_deg,_res_PDB_FID,129,0.19209138602164325,0.029194139187181667,0.19131947521501882,0.02986128462436932,0.2569646241204781,0.0032855303054814904
cleantrain,PDB,0,dih_mae_total_deg,_res_AFDB_FID,129,0.14212492636437535,0.10812368912430301,0.1864043847952029,0.034420157098252094,0.2314821818426082,0.00830301526480428
cleantrain,PDB,0,dih_mae_total_deg,_res_designability_rate,129,-0.23811950642728213,0.00657978392839894,-0.20291783181582426,0.02109280171416305,-0.26944706470099566,0.002016022886450305
cleantrain,PDB,200000,cath_C_top1,_res_PDB_FID,111,-0.3663618526539008,7.667096968995759e-05,-0.29584894591843736,0.0016184346935399624,-0.245935994996678,0.009272075616296054
cleantrain,PDB,200000,cath_C_top1,_res_AFDB_FID,111,-0.2784758597627543,0.003081501945935929,-0.24583851790534206,0.00930088365357982,-0.18730642944309292,0.04900872950630614
cleantrain,PDB,200000,cath_C_top1,_res_designability_rate,111,0.44299066333244486,1.1231042528112166e-06,0.23740022915521247,0.01211322605319618,0.17339397973660284,0.0687664652595292
cleantrain,PDB,200000,cath_A_top1,_res_PDB_FID,111,-0.35125836704416075,0.00015680853609237487,-0.2664958050720684,0.004695081188103021,-0.21069819754255448,0.02643945290494332
cleantrain,PDB,200000,cath_A_top1,_res_AFDB_FID,111,-0.26995206686035267,0.004165833995449714,-0.21651467483226738,0.022462993629133305,-0.1540089419280143,0.10655755016030588
cleantrain,PDB,200000,cath_A_top1,_res_designability_rate,111,0.3534640905455019,0.00014156363424845648,0.24543839136654624,0.00941996242274863,0.18506539364510796,0.051829742534653805
cleantrain,PDB,200000,cath_T_top1,_res_PDB_FID,111,-0.3179387351186149,0.0006727366189549694,-0.2683391555024087,0.004405783856468035,-0.2236699968541535,0.018284124051409754
cleantrain,PDB,200000,cath_T_top1,_res_AFDB_FID,111,-0.25367877651482623,0.007220232328251006,-0.2229400677608825,0.018677179549452288,-0.17037356456720873,0.07381274193887048
cleantrain,PDB,200000,cath_T_top1,_res_designability_rate,111,0.28504244658814865,0.0024271352911833105,0.2192077311593377,0.020802902334432355,0.1627958535088999,0.08779356788457852
cleantrain,PDB,200000,if_top1_acc,_res_PDB_FID,111,-0.26928294407773773,0.004263921591431496,-0.29469906665627643,0.001691006617082605,-0.229028621407611,0.015611139478525854
cleantrain,PDB,200000,if_top1_acc,_res_AFDB_FID,111,-0.17298129495403852,0.06943899109133361,-0.2666274729599498,0.0046738683023243395,-0.19935571913678302,0.03593417688685108
cleantrain,PDB,200000,if_top1_acc,_res_designability_rate,111,0.40281130706831897,1.1705133610205907e-05,0.37519588417871136,4.961269150348086e-05,0.3299410026723563,0.0004056805323662784
cleantrain,PDB,200000,dih_mae_total_deg,_res_PDB_FID,111,0.14705090663869036,0.12352992299146837,0.15549977558800038,0.10317008524475965,0.23963570185244978,0.011303856538582211
cleantrain,PDB,200000,dih_mae_total_deg,_res_AFDB_FID,111,0.07660785982595895,0.4242018953567256,0.149864389986674,0.11643236135772521,0.21308090256951404,0.024743340652870063
cleantrain,PDB,200000,dih_mae_total_deg,_res_designability_rate,111,-0.20351681214581205,0.032162477969523685,-0.135985957811166,0.15470642390336484,-0.2099307055251406,0.027006461450779853
xclean,PDB,0,cath_C_top1,_res_PDB_FID,129,-0.3083140311730067,0.0003784231299866276,-0.1622581400831656,0.06618706813095446,-0.13718303269036897,0.12107599967538744
xclean,PDB,0,cath_C_top1,_res_AFDB_FID,129,-0.24242554444120595,0.005639431935225739,-0.12291441402418715,0.1652225561979197,-0.08000377452398477,0.36744502603570034
xclean,PDB,0,cath_C_top1,_res_designability_rate,129,0.37650088007435345,1.0948664688665956e-05,0.1688162602599245,0.055815775398113505,0.1458534144101078,0.0990893883269519
