dataset,step_filter,rep_metric,gen_metric,n,pearson_r,pearson_p,spearman_r,spearman_p,partial_spearman_r_ctrl_step,partial_spearman_p_ctrl_step
AFDB,200000,cath_C_top1,_res_AFDB_FID,12,0.1722835953346389,0.5923581019957198,0.04358883808553725,0.8930018767848358,-0.09427982866774669,0.770711095063894
AFDB,200000,cath_C_top1,_res_designability_rate,12,0.0732363567856965,0.8210525981726906,0.21104867338029926,0.5102570746443544,0.6029552442515431,0.037956197340566114
AFDB,200000,cath_A_top1,_res_PDB_FID,12,0.672373743134187,0.016598474607036503,0.7052674993516165,0.0104054132777025,0.7665178062762702,0.0036357991456724263
AFDB,200000,cath_A_top1,_res_AFDB_FID,12,0.7122486343133615,0.009351423918923922,0.7649169893465293,0.003751169419495132,0.8008560174052164,0.0017467254225096483
AFDB,200000,cath_A_top1,_res_designability_rate,12,0.4477640323665249,0.1443734478076581,0.48681973248802113,0.10848132158307026,0.7386988148289084,0.006065119022131679
AFDB,200000,cath_T_top1,_res_PDB_FID,12,0.6964878784268989,0.011853414831223602,0.7473730217009666,0.005205708030048647,0.8263413273338815,0.0009219608451958982
AFDB,200000,cath_T_top1,_res_AFDB_FID,12,0.7121046344087019,0.009372324640188957,0.7543906087591917,0.004580466450631813,0.7976500459109244,0.0018810219511702227
AFDB,200000,cath_T_top1,_res_designability_rate,12,0.30156918197325916,0.34079592357731636,0.4481553494023299,0.14398031580164006,0.6649866957030037,0.01829714237113523
AFDB,200000,if_top1_acc,_res_PDB_FID,12,0.8331317061684321,0.0007644547181669391,0.8881118881118882,0.00011413359814618011,0.9254172978488273,1.6020522154988422e-05
AFDB,200000,if_top1_acc,_res_AFDB_FID,12,0.8932493414038848,9.10386534408328e-05,0.8951048951048951,8.36658642909172e-05,0.9067894963893546,4.730248186710964e-05
AFDB,200000,if_top1_acc,_res_designability_rate,12,0.3299361189270635,0.29493750003956104,0.2662000579685716,0.40297832764888997,0.5584337647129849,0.0591432820748489
AFDB,200000,dih_mae_total_deg,_res_PDB_FID,12,-0.8206418250431508,0.0010725467645310981,-0.9370629370629372,6.99316495321054e-06,-0.9402897475701825,5.404770772596186e-06
AFDB,200000,dih_mae_total_deg,_res_AFDB_FID,12,-0.8635150538601927,0.00029528113864363075,-0.9230769230769231,1.8621951098680987e-05,-0.9129512427407838,3.39617731171321e-05
AFDB,200000,dih_mae_total_deg,_res_designability_rate,12,-0.08286494722157173,0.7979300760491363,0.0665500144921429,0.8371878544641639,-0.23663557760914802,0.4590002147076527
