run,global_step,batch_size,samples_seen,_res_PDB_FID,_res_PDB_fJSD_C,_res_PDB_fJSD_A,_res_PDB_fJSD_T,_res_AFDB_FID,_res_AFDB_fJSD_C,_res_AFDB_fJSD_A,_res_AFDB_fJSD_T,_res_fS_C,_res_fS_A,_res_fS_T
Baseline (60M),740000,6,4440000,575.9110107421875,0.910876900521659,1.206328163239248,3.491434273394287,560.4631958007812,0.3654598174704239,0.7518522085809698,3.3095055372766287,2.534242868423462,4.89702844619751,19.690671920776367
REPA (L0),10000,4,40000,120724.703125,1.406131250668314,4.917246698802156,5.865887903003971,120948.5703125,2.424862529942711,5.058361803207666,5.867665772188326,1.4495214223861694,2.0257411003112797,2.8033154010772705
REPA (L0),20000,4,80000,170107.640625,0.9747407689584748,3.9042157112438862,5.667141296424232,170357.40625,1.7617759598420102,3.78982237454045,5.488257929428116,1.7487179040908811,2.571208477020264,3.3345041275024414
REPA (L0),40000,4,160000,28916.74609375,0.3603660149231574,2.6219229096511407,4.6817167194236,28975.693359375,0.9517618718713368,2.486875379932076,4.423036736440534,2.1652073860168457,3.138579607009888,6.756723403930664
REPA (L0),80000,4,320000,2226.63330078125,0.0262196001679172,1.6691768541527092,4.425497940081602,2241.139892578125,0.2389022612647537,1.4645159426541392,4.342004903686549,2.357773780822754,3.2228922843933105,15.702698707580566
REPA (L0),150000,4,600000,935.5597534179688,0.3426588163462957,1.4422459622980075,4.248566734412299,973.0734252929688,0.2297168778533987,1.2008218584593116,4.393537529729801,1.994283676147461,2.980154037475586,18.200550079345703
REPA (L0),250000,4,1000000,680.3279418945312,0.0423928380469846,0.4589903939213221,2.987365458320795,710.0250854492188,0.2873720495563382,0.7562674991159999,3.2402249341515743,2.215861558914185,5.203602313995361,27.350963592529297
REPA (L0),350000,4,1400000,609.7676391601562,0.7310178105458849,1.178561254423204,3.218706470385041,628.549072265625,0.3534418248944112,0.8500580403721345,3.2137825186199365,1.9942690134048464,3.816564559936523,23.297176361083984
REPA (L0),450000,4,1800000,523.180419921875,0.9108844542409325,1.120624114242501,3.2059503349258778,516.8084106445312,0.5054609713034939,0.8591672606662648,3.0184710323190056,1.8578211069107056,4.054102897644043,16.84806251525879
REPA (L0),550000,4,2200000,440.2828674316406,0.4541841078692545,0.9149560717091748,2.694593925561224,426.9318542480469,0.4304440395179465,0.9339704862553682,2.6167191826908,1.8920422792434688,4.046390056610107,17.13003158569336
REPA (L0),650000,4,2600000,456.998046875,0.3688352447265435,0.9414920832278734,2.662201577835427,447.91546630859375,0.401887668880903,1.0191631221017152,2.732833848425837,1.988153100013733,4.245488166809082,17.935388565063477
REPA (L0),750000,4,3000000,430.7788696289063,0.1178274929733952,0.7826904539339008,2.7052486124053923,428.9897766113281,0.3892827469169737,1.061132514456704,2.837842266003209,2.076310634613037,4.880528450012207,18.6658878326416
REPA (L0),830000,4,3320000,435.5186462402344,0.3940880517063883,0.930749331263264,2.629863941691806,428.5036926269531,0.4549544497160322,1.0089159920299768,2.777747485217525,1.93301260471344,4.458908557891846,18.704647064208984
REPA (L4),10000,4,40000,85229.5859375,1.5292720090762135,4.9215238589293255,5.810279971744068,85387.0546875,2.5428219499073377,5.07053479909719,5.860294187898316,1.5134321451187134,2.049031972885132,3.1452698707580566
REPA (L4),20000,4,80000,213772.265625,1.022545337165894,4.080907635431049,5.839445423017499,214070.78125,1.8180911378938271,3.9553212522463994,5.676439190425347,1.6791819334030151,2.36480712890625,2.8204641342163086
REPA (L4),40000,4,160000,32020.966796875,0.4821430107298984,2.7079288739796405,4.9479159734447045,32082.376953125,1.1012747931516178,2.580185069512911,4.6393157021063205,1.97783637046814,3.059826374053955,6.329494476318359
REPA (L4),80000,4,320000,2107.466064453125,0.0421296061406638,1.7489296663271972,4.303402715522808,2103.81640625,0.2862354396473681,1.526642811769504,4.1337945103638205,2.232523202896118,2.9704713821411133,14.663447380065918
REPA (L4),150000,4,600000,863.42724609375,1.386937543131816,2.241698942808359,4.1371461574767086,885.27880859375,0.7706375675117196,1.64036216849877,4.1220155609684985,1.6210787296295166,2.1915769577026367,19.626169204711918
