run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,probe_seed,ckpt_path,train_manifest,eval_manifest
baseline_256_bs24_2gpu_step1000k,1000000,3,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.12332025170326233,0.09154489288705127,43310,,,,,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,3,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,32.983375549316406,37.3418083190918,35.1625919342041,43310,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,4,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.10805818438529968,0.08112044852458083,43310,,,,,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,4,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,35.41965103149414,43.51859664916992,39.46912384033203,43310,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,5,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.11724774539470673,0.08661298697505485,43310,,,,,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,5,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,40.244873046875,47.00878143310547,43.626827239990234,43310,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,6,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.11161394417285919,0.08422523610481963,43310,,,,,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,6,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,45.1860237121582,48.54086685180664,46.86344528198242,43310,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,7,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.11029785126447678,0.08294870377836996,43310,,,,,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,7,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,47.26119613647461,52.27887725830078,49.770036697387695,43310,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,8,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.10879704356193542,0.07746613984718927,43310,,,,,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,8,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,50.72766876220703,55.42168045043945,53.07467460632324,43310,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,9,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.04869545251131058,0.005446731151991508,43310,,,,,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,9,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,60.37106704711914,65.53666687011719,62.953866958618164,43310,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step100k,100000,0,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.0933733582496643,0.05938211823028002,43310,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step100k,100000,0,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,28.323659896850586,71.90422821044922,50.1139440536499,43310,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step100k,100000,1,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.09279612451791763,0.05454594499839448,43310,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step100k,100000,1,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,28.01570701599121,74.09333801269531,51.05452251434326,43310,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step100k,100000,2,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.08570768684148788,0.05680072683523851,43310,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step100k,100000,2,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,28.547147750854492,76.79737091064453,52.67225933074951,43310,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step100k,100000,3,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.08563841879367828,0.04706695286269312,43310,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1_s1042,eval_clean_v2
