run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
baseline,450000,9,1.00,512,nan,0.9126,0.6292,0.8068,0.9126,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000006_step=000000450000-EMA.ckpt,
baseline,550000,0,1.00,512,nan,0.9488,0.6823,0.8548,0.9488,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000007_step=000000550000-EMA.ckpt,
baseline,550000,1,1.00,512,nan,0.9349,0.6659,0.8385,0.9349,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000007_step=000000550000-EMA.ckpt,
baseline,550000,2,1.00,512,nan,0.9282,0.6668,0.8403,0.9282,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000007_step=000000550000-EMA.ckpt,
baseline,550000,3,1.00,512,nan,0.9308,0.6644,0.8413,0.9308,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000007_step=000000550000-EMA.ckpt,
baseline,550000,4,1.00,512,nan,0.9253,0.6639,0.8367,0.9253,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000007_step=000000550000-EMA.ckpt,
baseline,550000,5,1.00,512,nan,0.9281,0.6591,0.8339,0.9281,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000007_step=000000550000-EMA.ckpt,
baseline,550000,6,1.00,512,nan,0.9245,0.6579,0.8347,0.9245,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000007_step=000000550000-EMA.ckpt,
baseline,550000,7,1.00,512,nan,0.9268,0.6608,0.8353,0.9268,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000007_step=000000550000-EMA.ckpt,
baseline,550000,8,1.00,512,nan,0.9268,0.6608,0.8373,0.9268,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000007_step=000000550000-EMA.ckpt,
baseline,550000,9,1.00,512,nan,0.9245,0.6549,0.8290,0.9245,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000007_step=000000550000-EMA.ckpt,
baseline,650000,0,1.00,512,nan,0.9482,0.6882,0.8535,0.9482,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000009_step=000000650000-EMA.ckpt,
baseline,650000,1,1.00,512,nan,0.9361,0.6522,0.8299,0.9361,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000009_step=000000650000-EMA.ckpt,
baseline,650000,2,1.00,512,nan,0.9309,0.6608,0.8390,0.9309,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000009_step=000000650000-EMA.ckpt,
baseline,650000,3,1.00,512,nan,0.9288,0.6625,0.8371,0.9288,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000009_step=000000650000-EMA.ckpt,
baseline,650000,4,1.00,512,nan,0.9233,0.6613,0.8317,0.9233,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000009_step=000000650000-EMA.ckpt,
baseline,650000,5,1.00,512,nan,0.9148,0.6434,0.8198,0.9148,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000009_step=000000650000-EMA.ckpt,
