run,step,layer,t,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,dim,ckpt_path,train_manifest,eval_manifest
repa_l4_128,400000,0,1.0,mlp,5000,500,490,0.9309158223096089,0.8612273728377752,0.7184684999635662,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l4_128,400000,1,1.0,mlp,5000,500,490,0.926058703554764,0.8578687598871602,0.7116320592995986,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l4_128,400000,2,1.0,mlp,5000,500,490,0.9189980645846332,0.8452073170451743,0.6950238655515,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l4_128,400000,3,1.0,mlp,5000,500,490,0.9155288808876701,0.8325428365356555,0.6818910491655175,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l4_128,400000,4,1.0,mlp,5000,500,490,0.9060581102774273,0.8239181692531579,0.6770277559384148,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l4_128,400000,5,1.0,mlp,5000,500,490,0.8970651164595246,0.8090929802743471,0.6615364176830609,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l4_128,400000,6,1.0,mlp,5000,500,490,0.8786870383631891,0.7826315833300631,0.6384055167651904,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l4_128,400000,7,1.0,mlp,5000,500,490,0.8703826065734003,0.7728477675878757,0.628822228495476,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l4_128,400000,8,1.0,mlp,5000,500,490,0.8732032654672415,0.774686284515583,0.6312980225371969,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l4_128,400000,9,1.0,mlp,5000,500,490,0.8735070601399021,0.7769563275267364,0.6329842748848876,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l9_128,400000,0,1.0,mlp,5000,500,490,0.9234574289934376,0.850558103057335,0.7073999991389307,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l9_128,400000,1,1.0,mlp,5000,500,490,0.9063907758977344,0.8232402191072343,0.6775294222322182,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l9_128,400000,2,1.0,mlp,5000,500,490,0.9055298889159635,0.8225191736809894,0.6771165206506571,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l9_128,400000,3,1.0,mlp,5000,500,490,0.9102516993027318,0.8272991491086498,0.679019781829031,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l9_128,400000,4,1.0,mlp,5000,500,490,0.9173942106357453,0.8410121917782957,0.6952587672878294,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l9_128,400000,5,1.0,mlp,5000,500,490,0.9049258370823087,0.8185800080200113,0.6739194112984022,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l9_128,400000,6,1.0,mlp,5000,500,490,0.9031292234710924,0.8134001514690579,0.6662496752153347,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l9_128,400000,7,1.0,mlp,5000,500,490,0.8989730427471896,0.809033173149644,0.6617910426950337,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
